TIC ID,TFOPWG Disposition,Sectors
435673126,FP,"14,41,54,81"
142087638,FP,"7,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
142087638,FP,"7,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
400595342,FP,"8,9,35,36,62,63,89,90"
407146536,FP,"12,13,39,65,66"
146846569,FP,"9,10,36,63"
190271688,FP,"11,38,65"
158555987,FP,"14,40,41,53,54,55,74,75"
350743714,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89"
388624270,FP,"8,9,34,35,36,61,62,63,88,89"
178959058,FP,"11,38,64"
257052211,FP,"15,16,56,76,83"
370759867,FP,18
470911286,FP,"17,18,24"
116608612,FP,"19,43,44,45,59,73"
34551972,FP,"18,42,43,44,58"
219467837,FP,"14,15,20,21,22,40,41,47,48"
398733009,FP,"4,30"
431999925,FP,7
403693875,FP,"6,33,71,72,87"
53593457,FP,6
146208651,FP,"8,9,35,36,62,63,89"
124543547,FP,6
269238073,FP,"17,18,24,57"
141405814,FP,"7,34,61,88"
297153209,FP,"15,41,55,56,75"
127476180,FP,"7,61,88"
243283955,FP,"14,15,16,23,26,40,41,49,53,54,55,56,59,60,73,74,75,76,80,81,82,83"
320525204,FP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,59,60,73,74,75,76,77,78,80,81,82,83,84,85,86"
1717732429,FP,"14,15,16,19,22,23,25,26,40,41,49,52,53,54,55,56,57,58,59,60,73,74,75,76,79,80,81,82,83,84,85"
359496368,FP,"14,15,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,75,76,78,79,80,81,82,83,84,85"
258777137,FP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59,60,73,74,75,76,77,79,80,82,83,84,85,86"
289539327,FP,"14,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,60,73,74,75,76,77,78,79,81,82,83,84,85,86"
233684822,FP,"14,15,16,17,18,19,21,22,23,24,25,26,40,41,48,49,51,52,53,54,55,56,57,58,59,60,74,75,76,78,79,80,81,82,83,84,85,86"
232679662,FP,"14,15,16,19,22,23,25,26,40,41,49,52,53,54,55,56,57,58,59,60,73,74,75,76,79,80,81,82,83,84,85,86"
1400770435,FP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,59,60,73,74,75,76,77,78,80,81,82,83,84,85,86"
230017325,FP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80,81,82,83,84,13368,56"
422838133,FP,"18,19,24,25,52,58,59,78,79,85"
284564230,FP,"14,15,16,17,20,23,24,26,40,41,47,49,50,53,54,55,56,57,58,59,60,73,74,75,76,77,80,81,82,83,84,85,86"
352924930,FP,"18,24,25,52,58,78,79"
48476907,FP,"9,35,36,62,63"
104022675,FP,"10,37"
269269740,FP,"14,15,41,54"
384386061,FP,"12,13,39"
268405086,FP,"18,19,20,25,26,40,47"
365952328,FP,"13,39,66"
365712006,FP,"15,16,56,57,76,77"
172376068,FP,"14,41,54,55,74,75,81,82"
10552342,FP,"16,56,83"
326470400,FP,"11,38,65"
294869729,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31"
344085117,FP,"6,7,8,33,35,61,62,87"
370877263,FP,"9,10,11,36,38,63,64,65"
169904935,FP,"7,34,61"
201233610,FP,"2,28,29"
149601557,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,30,31,32,33,34,35,36,37,38,61,62,64,65,67,68,69"
167418898,FP,"1,2,3,4,5,6,7,8,9,11,12,13,28,29,30,31,32,33,34,35,36,37,38,39"
157568289,FP,"6,7,33,34,87"
46772529,FP,"8,35,62"
58046864,FP,13
373614579,FP,"20,47,60"
273069412,FP,"15,16,55,56,76,82"
52548453,FP,"7,33,87"
59859387,FP,"7,8,33,35,61"
407146538,FP,"12,13,39,65,66"
337274055,FP,"13,39"
7904580,FP,"8,34"
25624952,FP,"17,24,57,77,84"
361998994,FP,"10,11"
48276576,FP,"9,62"
156991337,FP,"6,7,33,61,87"
207468071,FP,"16,23,24,25,49,50,51,52,56,76,77,78,79"
457743020,FP,"10,36,37"
219466803,FP,"14,15,20,21,22,40,41,47,48"
263203229,FP,"12,38,39,65,66"
161687209,FP,"15,16,22,24,49,50,51,76,77,78"
304950588,FP,"10,11,37,38"
437156845,FP,"7,8,34"
162729620,FP,"10,36,37,63,64"
306547699,FP,"10,11,37,38"
469436001,FP,"15,16,17,41,55,57,75,77"
262531275,FP,"2,3,29,30"
383723559,FP,"14,26,41,53,54,74,80,81"
302766000,FP,"6,43,44,45"
241065596,FP,"17,18,58"
374400599,FP,"18,25,52,58,85"
418987806,FP,"18,24,58,78,85"
385105624,FP,"18,58,86"
138017750,FP,"18,58,85"
371579161,FP,"16,17,57,77"
154867950,FP,"14,19,20,21,26,40,41,47,53,59,60"
347442932,FP,"8,61"
118308828,FP,"8,9,10,35,36"
187029841,FP,18
308050066,FP,"9,35,62"
151930063,FP,"7,8,34,61"
426017070,FP,"2,13,27,28,29"
113295476,FP,7
332660287,FP,"5,32"
82302240,FP,"8,9,34,35,61"
155807906,FP,"7,8,34"
100267480,FP,13
363635669,FP,"9,10,11,36,63,64"
172630205,FP,"6,7,33"
124095888,FP,"10,37"
229285649,FP,"6,33,45"
309257814,FP,"10,28,31,35,36,37,38,61,62,63,64"
117979694,FP,"5,32"
77228304,FP,"4,5"
289441015,FP,"15,16,55,56,75"
285666479,FP,18
461387302,FP,"17,18,24,25,58,78,85"
286355915,FP,"18,58"
121966220,FP,"19,59"
282498590,FP,"6,33"
12036590,FP,"6,33"
91869778,FP,"6,33,43,44,45,71,72"
190743990,FP,"15,16,56,76,83"
294176967,FP,"14,15,16,41,54,55,56,75,76,81,82"
365389353,FP,"15,16,56,57,76,77,83"
468977648,FP,"9,10,35,36"
284305328,FP,"17,18,24,25,58"
294090620,FP,"8,34,35,61"
405904232,FP,"14,15,16,41,54,55,56,75,76,81,82"
61117473,FP,"11,38"
55390413,FP,"19,20,60,73"
389182138,FP,"16,17,57,77,84"
98613492,FP,"19,59"
252537013,FP,"16,17,57,77,84"
249812036,FP,"16,17,56,57,76,77,83"
233720539,FP,"14,15,16,17,18,19,20,22,23,24,25,26,40,47,48,49,50,52,57,73,74,75,76,77,78,79,80,81,83"
233497719,FP,"14,15,16,18,19,20,21,22,24,25,26,40,41,47,48,49,51,52,73,74,75,76,78,79,80,81,82"
47617038,FP,"11,38"
314724818,FP,"11,38,65"
241174783,FP,"20,47,60"
17005768,FP,"17,57"
463203560,FP,"9,10,36,37,63,64"
464067218,FP,"9,10,36,37,63,64"
463681005,FP,"9,10,63,64"
279177746,FP,"15,16,55,56,75,76,82"
261141602,FP,"19,59,73"
334597566,FP,"16,17,18,24,57"
318608749,FP,"1,13,27,39,66,67"
358631536,FP,"15,16,55,56,75,76,82"
312548415,FP,"17,18,24"
169177766,FP,"14,15,54,55,74,75,81,82"
11111899,FP,"14,15,41,54,55,75,81,82"
165523947,FP,15
96291218,FP,"19,43,44,59,71"
341805908,FP,"12,39,65,66"
138361973,FP,"14,40,41,54,55,74,75,81,82"
101929303,FP,"14,54,55,74,75,81,82"
186000935,FP,"14,15,41,54,56,75,81,82"
365683032,FP,"15,16,56,75,76,82"
233541860,FP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48"
15682927,FP,"14,15,41,55"
260043723,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
55452495,FP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66"
220016044,FP,"2,3,29,30"
220396259,FP,"2,29"
300810086,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,28,29,30,31,32,33,34,35,36,38,39,61,62,63,64,65,66,67,68"
250386181,FP,"4,30"
219388773,FP,"4,5,6"
7624182,FP,"4,5,31,32"
38686737,FP,5
172464366,FP,6
134396419,FP,"7,8,34,35,61"
153651591,FP,"7,8,34"
54085154,FP,"9,36,63"
304021498,FP,"9,10,11,36"
309787037,FP,"8,9,10,35,36,37,61,62,63,64,68"
112395568,FP,13
382437043,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,37,38,39,61,62,63,64,65"
277103955,FP,"1,3,4,5,6,7,8,10,11,13,27,28,30,31,32,33,34,35,37,38,62,63,65,66,67,68,69"
24094603,FP,13
33878688,FP,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32"
399144800,FP,"10,11,37,38,64,65"
230086768,FP,"15,16,17,18,19,20,21,22,23"
224313733,FP,"15,16,17,22,23,24,49,50,51"
420645189,FP,"19,25,26,52"
420645189,FP,"19,25,26,52"
70887357,FP,"5,32"
160162987,FP,"14,19,20,21,25,26,40,41"
388130235,FP,"1,3,4,5,6,7,8,9,10,11,13,27,28,29,30,31,32,33,34,35,36"
65347776,FP,"3,4,30"
31114545,FP,"5,6,32"
1101909431,FP,"16,23,24"
356868487,FP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,56,57,58,59,60"
332630868,FP,"8,35"
312221462,FP,"19,43,44,45"
202428245,FP,"15,16,21,22,23,41,48,50,75"
434100688,FP,"2,69"
379931600,FP,"14,40,41"
83210867,FP,"14,41,54,55,74,75,81"
146836153,FP,"7,8,34,61"
386297468,FP,"9,10,35,36,37"
