TIC ID,TFOPWG Disposition,Sectors
1715469662,PC,"14,26,40,41,53,54"
260761464,PC,"15,16,56"
238624131,PC,"17,57"
264912889,PC,"18,58"
96074951,PC,"19,44,59"
432078760,PC,"19,59"
428251130,PC,"18,19"
320281287,PC,"17,18,24,57"
426122503,PC,"14,40,41"
307201632,PC,"17,57,58"
63718617,PC,"18,58"
9136777,PC,"19,59"
26999884,PC,"17,24,57,77,84"
426122272,PC,"14,40,41,54,74,80,81"
298291597,PC,"14,15,41,55,81,82"
160585062,PC,"14,15,16,18,19,20,21,22,23,26,40,41,47,48,49,51,52,53,55,56,59,60,73,74,75,76,78,79,80,81,82"
160075684,PC,"14,19,20,21,26,40,41,47,52,53,73,74"
258776466,PC,"14,15,16,17,18,19,20,21,22,23,25,26,40,41,47,48,49,50,51,52,53,54,55,73,74,75,76,77,78"
198178859,PC,"15,16,18,19,21,22,23,24,25,48,49,51,52,55"
259238498,PC,"14,15,16,17,18,19,20,21,22,23,25,26,56,57,58,59,60,73,74,75,76,77,78"
27649847,CP,"7,34,44,45,46,71,72"
406941612,CP,"12,13,39,65,66"
92677094,PC,"14,40,54"
1870990135,PC,"14,40,41"
247172524,PC,"15,41,55"
202941251,PC,"15,41,54,55"
164260243,PC,"16,56"
244912396,PC,"14,41,54"
318836983,PC,"4,42,43,70,71"
14203588,PC,"14,15,41,55,81,82"
165337974,PC,"15,55,56,75,76"
287444302,PC,"15,16,56,82"
120487017,PC,"16,56,83"
455733237,PC,"17,57,84"
177494632,PC,"17,57,84"
354478327,PC,"17,57,84"
77258176,PC,"18,58,85"
22659404,PC,"17,58,85"
259381479,PC,"18,58,85"
422554579,PC,"17,18,24,57,58"
420177051,PC,"14,17,18,19,20,21,23,24,25,26,40,41,47,50,51,52,54"
1980725947,PC,"14,15,16,17,41,55,56,57"
259274960,PC,"14,15,16,17,18,19,20,21,22,23,24,25,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
229605891,PC,"14,15,16,17,18,19,20,21,22,23,24,25,40,47,48,49,50,51,52,53,54,55"
164783371,PC,"14,40,41,53,55,74,75"
160428500,PC,"15,55,56,82"
298658399,PC,"15,55,56,82"
120313529,PC,"14,26,40,41,53,54,80,81"
425706173,PC,"14,40,41,54,80,81"
41839508,PC,"14,40,53,54,74,80,81"
305026599,PC,"14,41,54,55,81"
184527843,PC,"14,41,54,55,74,75,81,82"
233533589,PC,"14,15,17,18,19,20,22,23,24,25,26,40,47,48,49,50,52,53,54,55,56,57,58,59,60,73,74,75,77,78,79,80,81,82,83,84,85"
210337597,PC,"14,15,41,55,82"
256783400,PC,"15,16,56,83"
255998336,PC,"14,15,16,41,55,56,75,76,82,83"
373196394,PC,"15,55,56,75,76,82,83"
